State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Sikkim,21.0,98.78247255721836,5986.659904742634,96.74490401263223,26836.00921920782,98.0026464806948,5.0,8.94092414865161,46.590990760315115,5.95851311235319,2722.1975650035047,9.733173060892671,4.0,91.31625251488569,416.23740690172986,76.96612534959938,4.0,88.2977465203016
Uttarakhand,28849.06404443841,98.08027536048087,6067.373383361612,92.28075329819276,28138.294299501613,97.46312622419036,4212.2725491544625,6.63876936497476,696.7525117599728,5.931757569954102,1691.6329439958267,7.929479401335713,91.96740863313107,39.38090890054749,0.0,52.413381846738176,4.0,44.324053600359655
Maharashtra,119917.90992632118,97.22482553945298,82923.23975056084,93.83635839755438,229792.58097452336,96.3815411578211,11247.865480861263,5.955600506168713,4519.671511448157,4.575790480000151,15036.143758219067,5.52449804622095,6195.958334261309,66.04446442732356,2371.329001166191,55.21164443306425,13843.82975996118,64.08877325907959
Goa,21.0,97.62599840997139,2.0,72.99683667425576,1157.4293036622526,94.61445719224747,4269.612324293392,20.574461217925087,0.0,14.89104983849372,5.0,18.90106411307728,4.0,92.48433854840742,0.0,52.106362998908246,1385.7058973502915,84.8637233796657
Lakshadweep,21.0,94.84922608368655,,,21.0,95.19970709912896,3687.789867094587,23.03320814610521,,,812.2068183068253,23.74269000592048,296.0530428758617,81.62552829894523,,,4.0,74.2729650801675
Arunachal Pradesh,21.0,78.96049295154333,6103.637516727576,51.29637843125641,21.0,78.26443165511667,5.0,2.7494637674229656,509.3176586758089,0.0,1738.941692652409,2.8339565814011487,1279.958057422489,48.827923183515345,,,4.0,45.702432636064884
Tripura,21.0,94.28149173794247,2282.7176960845472,86.3885912890864,21.0,93.6461899959197,5.0,15.314829346753957,841.1105902767733,18.26508826803605,5.0,15.52630078169234,4.0,38.043329420275406,656.5895029021548,0.0,119.34282033705878,38.0196900873556
Mizoram,1409.6787763397529,99.2,13290.271542565912,100.0,21.0,98.73547845611051,6007.298309946876,7.635331733351249,0.0,30.922568015544133,5.0,6.021948714702732,909.678476053881,96.9,434.4788247619333,99.41142970031082,1854.9210378567261,97.0
Arunachal Pradesh,21.0,79.14679061049685,5461.638866152631,50.710125131471806,21.0,78.73516418726516,5377.555458707102,2.3,609.9080556979582,1.4035455606877592,5.0,2.5,894.3819785124908,49.78463543287768,,,1081.090353383628,48.099112505517354
Rajasthan,95411.47732179877,89.58143667984368,23103.15798364525,90.13289119985134,167391.5738418876,90.90253789930556,2682.0994212077803,2.3,1038.1139545406938,2.882361864507767,5.0,4.1729263834291705,1900.5991683356053,64.1136090884523,346.1940226811563,47.11998903764099,3527.246103753123,55.37488490511
West Bengal,80428.75782079501,92.87900778706378,2.0,83.63932286560231,62940.432523034484,92.75545596170016,12973.042108819647,13.881583642144784,649.1316743531172,13.767359846931749,11338.528370673645,13.642482190981195,10231.647968201227,77.57373389033799,1055.8229086003419,77.75947410714907,9023.795647548402,75.20036059865183
Himachal Pradesh,59278.97751673293,98.23678181677798,2.0,97.81772463942629,30278.691050235262,98.90234650218123,1494.4375580316596,9.982692781740026,483.63461449817294,5.235440947375111,6237.598873678285,8.867919644858816,382.11532592640515,76.1066638745128,0.0,74.08556962713429,4451.278185339426,77.37308152410544
Assam,21.0,80.69310580110928,658.3404168588895,83.55495834522947,88966.56088057489,81.38883138441665,2452.611997176807,8.48401230395141,743.3696372778425,10.341087597924023,5.0,8.744987216750266,398.52886266902397,40.04114304426018,407.01135170693726,33.32719417336724,3474.850983358979,38.54335566010688
Bihar,74878.31099804444,66.29414102939793,81015.29399566546,86.93913457339147,168833.5700643181,78.70827319760811,2512.4435070388017,4.992577156400982,3764.635674587722,4.825798492780214,5749.69247275963,5.046608288140961,1823.776209164489,50.70269502461362,1315.9257310476771,24.12338005301026,4.0,35.791783380399096
Karnataka,21.0,95.95138843708281,19998.151265540488,90.1664323094908,31157.09095455661,95.74723288220585,8363.600255028327,15.053236961847764,1440.4033256763723,9.686142884821711,12380.178875771227,15.182271877887644,6995.75654974241,77.59341879857158,749.2232762234229,76.93806021831863,10752.409019212251,73.26838459614935
Gujarat,96309.73061328375,97.73774350168017,28866.310108933223,93.03180845534268,162674.39532557016,95.22121829689368,4418.458848853833,4.996216189205897,592.1454240220847,2.8979759467014157,8309.237743128268,3.9929215724035956,4724.916685013783,80.83057854494336,980.7629843048046,79.13570060583943,5364.756132066088,80.40423112989937
Kerala,10892.606277655394,94.47154891404492,2.0,85.2952764284867,38087.68541672009,93.14749046831386,7634.3375626808265,32.9,1511.8636535284263,30.035381247748127,3489.0172971479346,32.6,3238.189644223577,63.82386749771094,1153.9686805572355,55.95286927568276,4373.342814002008,65.30809491351734
Andaman & Nicobar Islands,21.0,93.97936347324817,14476.095374873792,74.6347531805197,41370.591873902136,94.22930373001401,3259.7423899730775,15.821455506834248,0.0,32.88413811729558,5.0,17.79530977799595,274.7838624388146,72.62397670309076,140.63872936986616,100.0,1385.1723078729437,72.63730885354892
Andhra Pradesh,66172.85961791588,98.676148438903,36987.334518623415,100.0,41981.91385673348,99.2,12861.467264059043,13.426443889269757,3173.1687059302303,9.792853286079032,11711.56778019504,12.833393726307612,7777.125852394863,68.34797187654559,1479.1533177423496,59.970532930883095,4286.2830568459285,68.3787000271048
Telangana,35874.502229595964,93.62853927899063,10207.495313304953,92.13661515479133,88848.92098076506,93.91743542153323,771.0481548276439,6.409367974610436,880.8324958014813,4.412717379228949,5.0,6.964261376852367,2703.4221475543586,84.74455708151652,1150.2552736305674,81.80424388221283,4903.701112641675,81.00857935773047
Sikkim,21.0,96.61804621279734,2029.357894382197,97.33291480244212,21.0,96.91953489213417,5.0,8.69921900964904,0.0,4.867641683801331,5.0,8.827207248596418,371.4218825984069,90.77491940165804,222.13327444336232,76.1607213950246,1358.454649200285,88.75954705206387
India,1704152.7192938745,92.13688374210233,504354.85769947583,91.16719707320485,2215930.0,92.31486506076297,142090.82783066214,7.181252723016073,30564.0,6.289708088691338,172220.62701591293,7.534217974292199,93897.0,63.654843909698634,16063.752782034513,49.04316142210827,108943.56094976072,62.85403585045327
Rajasthan,109716.60443848549,89.77743975858611,28107.692921558435,89.46980790489904,152651.5009071519,90.39468386480388,2966.22559970819,2.3,1443.1148848892913,2.405237976452077,7971.937363483166,4.388698235772429,2938.2536876189492,66.19747593131811,1033.1067992384158,45.09090484632913,5166.460227074646,58.17480780627153
Telangana,8922.223431521132,93.65802524646253,14910.629425601412,92.81389271726296,80978.51100272934,94.32453969150845,407.0924012286323,5.652615766702212,1563.3384890709208,5.9322572258209885,5309.151596313335,6.099329967826075,3015.9285586166493,79.84857942084585,563.4522604112993,81.74432099012235,1655.7838897128443,82.30116032049568
Meghalaya,73095.75868474573,78.13619573458071,2.0,53.60812153190839,21.0,77.51376673781533,1194.7746042323688,6.590865538862899,0.0,3.168463567764622,1747.0297731834135,4.9622898524217,4.0,68.88035142585684,84.8311271982519,75.24527896377022,2226.887578626937,68.69874875546813
Bihar,35221.142550217795,66.1,77471.0055047312,86.06703560850596,184015.8486632526,77.24452753899314,4715.215712788245,5.1215630643388215,5051.498680901186,3.9493506052708236,5864.245418294349,4.240287067520574,2171.0721090899683,49.45554876109942,826.5156959380588,20.22550111201476,4.0,35.306012467656984
Sikkim,21.0,97.62257918409993,5577.801056516363,96.35719027844301,21.0,98.27048638262207,5.0,8.671329077893288,0.0,5.876323520637203,5.0,9.560738384839764,1338.603655054576,90.91518532538399,89.48405967532274,74.86709504942878,4.0,89.82728044263874
Gujarat,124585.868415693,97.61013580588609,21748.191295759687,92.44739933306757,140214.4756837268,96.36652321774521,6308.791587462202,5.645227931101416,1466.055842345537,4.462008458029912,6292.91721326758,4.26619116806107,4633.1019793719315,81.08401673017956,1152.6245816044989,82.6279576247598,1832.871158216803,79.90628238520819
Puducherry,21.0,98.52243059921324,6699.615032111024,97.78747481680121,21.0,97.60974894019346,5.0,31.988980672158327,0.0,0.0,5.0,30.963948014054928,2683.3970011443766,91.64530429777393,,,2932.243973814179,96.91047316789167
Rajasthan,122079.59149021171,89.80542537110668,27085.509273372663,89.99439863250961,164624.24241957985,89.28745304384073,255.4452724630014,2.731132714835862,1293.140163772437,3.460588403771745,8798.814351723944,3.1347916507807954,2730.013439197183,60.914352259505925,361.172610853109,40.80143836198165,1985.9045781348634,59.47979933081185
Sikkim,11005.176188078096,97.84216545604008,2.0,95.0630055113129,21.0,97.34617364559054,1888.4560734812458,8.78592054504204,0.0,5.884481016632239,5.0,9.387221088193419,1043.6435409510068,90.1245912898782,0.0,73.4097193165573,385.22361893709314,87.91702889457827
Manipur,21599.76593882301,76.10159738849887,2.0,57.07906604868329,521.8321665168178,74.75676806699832,5.0,15.050528707561632,0.0,7.420585001555155,818.1925502088563,14.515786018602103,4.0,46.21714269545888,0.0,17.367069895769593,2206.423265143562,44.88042616734146
Nagaland,21.0,83.27705868865309,8734.309820032327,94.47194710875614,25801.288720846704,84.51949058274816,5.0,6.871776951793975,0.0,6.660334570159215,5.0,4.725023365626595,749.1154488507813,45.791305085992605,128.16870037166348,11.148057594585953,315.4464038911869,46.19021225360601
Arunachal Pradesh,11278.416982111583,78.63814596021096,2.0,52.13756148887916,21.0,78.97405971139862,332.33356124272785,2.8521699675721224,0.0,0.0,5.0,2.5,1572.4976046687175,47.632497254395574,,,4.0,44.89584870546483
Arunachal Pradesh,21.0,78.1450842720539,5312.396740078974,50.80846066238708,15360.404643436297,79.40251778875256,3758.995469238142,3.184726287488189,924.0681280704949,0.0,5.0,2.5,248.88450830852852,48.33771606618047,,,4.0,48.40409896105659
Tripura,21.0,94.00556059457674,5869.152634279337,85.26571149641225,73027.57347024509,95.47913629329243,5.0,16.099189516785927,0.0,16.500733193014543,5.0,14.479476509414496,4.0,38.95267332996552,0.0,4.790504483391051,4.0,38.755336259768356
Telangana,88891.35118002733,96.27293545136206,813.3286725154176,92.44483037610647,89479.34879356551,92.6102925760114,6006.812503265659,6.902660454801254,183.92234008716605,5.271362081140032,3727.3244981927955,6.187847869086363,1993.1709831811895,81.82804956696118,809.6238509038267,83.03808544588058,3476.271611993961,82.95798990522428
Goa,42836.115620002376,99.2,15942.058542467026,76.23261217360296,21.0,93.28216407129113,215.61574941133966,19.749386823876826,826.8809088357373,15.872495960193527,3123.119144496403,18.506278083036268,2625.265116515772,93.25605298148771,0.0,49.9864624545781,1364.6706950106798,85.2344202514504
Goa,21.0,99.01331641225586,2.0,74.21786329057528,53115.22834627782,93.44409673634608,423.30482166076683,19.02121476579099,314.83428863562915,15.003635907598785,504.80701577190496,18.439491377800014,1318.956332548376,92.34842253752814,107.50930630360635,54.19284329296986,4.0,84.91391232821513
Uttarakhand,22562.304776148947,96.77481957105923,14652.698923393205,89.9498251567894,2387.7026292099727,96.05744565844549,399.88454593965025,8.007598667126068,0.0,4.6716506360405194,3829.2724976062145,7.625322669662614,83.31335878553534,39.086018357710536,197.46184269589384,56.829357070663896,4.0,41.93711607038335
Tamil Nadu,102914.81835846914,96.6892988839791,12835.441010290731,90.28452436122879,97389.54208029823,96.67989861459338,18796.3666676388,24.4569916959327,4056.700638890121,21.790635736714435,21034.016505792388,25.468884108428945,21797.774148490662,93.94417369695526,3129.5444664260485,88.05648395931921,22265.789592132616,92.31914554707484
Madhya Pradesh,177010.81093295186,90.90326423993265,42240.73360302391,95.42518258416516,153774.87175999058,89.63107339516695,7878.119616453957,6.7731005128603305,2594.173511581176,8.034399797883793,7685.406216417178,4.201049870092275,3402.2646212197537,45.78070033821165,1138.765087885442,34.70035446184581,4121.085186995432,43.82556517778594
Assam,70353.00843510221,80.97016038996432,19977.888897120007,83.1825298390429,114173.94611907082,80.92219673212134,1421.4574658862773,6.134076349640044,0.0,10.603270150763114,2730.9355290706285,8.255824182350134,4.0,38.8504690293133,257.22952862762196,34.43100634378823,3568.360645543132,37.7025303677944
Nagaland,21.0,82.24718456414263,10758.767023232058,94.01346202311021,21.0,83.54087392214397,5.0,6.094040008691004,0.0,5.958749015422362,5.0,5.587317160735989,4.0,45.44964514725713,0.0,7.280237327697353,4.0,46.66963943036824
Chandigarh,8218.744296247352,94.55257211974752,2.0,70.56015072686957,21.0,95.37046603268297,5.0,9.63079992579346,387.03377564168153,10.975035782779544,5.0,9.130154705809648,4.0,76.76099234594936,107.45796260599147,95.44540476832405,2565.0370538328593,82.21650271549964
Lakshadweep,21.0,95.28047726862845,,,26624.959385164508,94.1848356254501,5.0,23.11525200638604,,,3837.3824557417374,24.65824770833488,1132.7585222317932,82.12835159233222,,,4.0,79.09934828959719
Maharashtra,155939.47442936682,97.57170256423102,60380.74779226198,96.66895646004325,285804.8472986799,97.68438701027272,8032.0457463112625,7.272768081866738,4525.030319461468,5.286557344804097,17148.3343420124,6.353812233879551,8390.497767393786,68.52038503396666,2465.8958327853647,61.290672626989476,8308.23285048269,62.15343199677193
Karnataka,17331.762926409392,95.45840856141284,9094.081917363492,90.59633813873509,25717.561491619148,95.06450622837632,8239.009996825587,17.173130161277637,323.31917721858133,8.984255604069466,6477.588967152072,13.254811915294635,7374.2707510232185,78.01949687508301,1206.7123737888592,77.92289984641229,9312.674687431774,76.8777078849295
Jammu & Kashmir,61796.5062274336,95.24749616513677,2.0,96.1597810456501,32091.726703530072,95.54203281366233,2512.8998924500393,5.04991094889951,0.0,6.113503217973667,1525.2211305108167,7.791044667606299,4.0,50.025451260429016,0.0,76.32378971079837,4.0,55.22548467579261
Chandigarh,12431.179288350322,95.46588573533784,2.0,74.46229293719824,21.0,93.27794699866868,6139.996773055734,7.619441234197955,21.16997723284632,10.962008778919454,5.0,9.647387726864087,778.136998644881,75.90091851279116,0.0,96.06744666021284,424.5030208194986,78.8424630672981
Bihar,109957.82190919906,66.27324058648847,72395.70589817538,85.79749957154857,61192.0745891971,77.54135634499183,1532.4272812983022,5.92760301700362,3647.888372439779,4.607876278455915,9546.363244119584,5.030780317803437,3416.3212322713966,50.04657276039041,511.01285280207406,21.193555154201018,2007.3879642397776,33.5
Kerala,44228.70303188478,94.2464745178791,2.0,86.14179097754284,46106.526159668676,92.43430691540381,7189.888058838122,32.80424679767041,804.1967226004475,30.518375213662512,3331.762411236282,31.993179789351906,1963.8876707195523,64.70223147147951,0.0,60.27649288833995,6314.055643190442,65.57076017553808
Maharashtra,55679.93170298643,96.21904663001101,81100.3388644451,94.95963116651404,181950.75840477052,96.59787720526245,10305.250188574291,7.3994947773681226,4841.963303196424,6.434599367311748,9528.361247471494,6.296003507806633,7335.511020851072,69.14511802313372,2850.591713020554,56.938612502726045,7906.617750892308,66.18107394120302
Nagaland,21.0,82.97905318182626,2.0,92.02284055527599,18206.094006831216,84.45172602053222,5.0,5.0719633960331185,558.1203482919392,7.539561240644373,5.0,4.897063916448757,4.0,48.70246088632463,123.86932097110022,10.02172174085461,73.791004637329,40.715597227301096
Uttar Pradesh,405863.1307727751,93.98620685319611,105673.05584519575,85.46202634205092,466030.95658192004,91.19953127613425,19927.330698497353,5.724944433855917,1484.7475785585098,2.472226542307296,21793.593733300317,4.677280145785055,9971.051294466739,38.0,632.3263687930971,34.04769736479868,8043.413555192654,36.22924652769383
Karnataka,74620.58199757681,95.83671424620623,2.0,87.35180312059912,134125.71583208465,93.79491330180797,8244.334776349871,13.855815320328762,1530.6858754188647,7.731626664506905,11283.554901851487,15.14218759405004,7696.513111359051,76.9102172854805,943.2369866326774,78.24006536190436,7224.609209305871,74.53762343430832
Delhi,64964.12920574899,84.06354891974125,13932.827266989201,55.32114092751393,7009.128585157618,80.51699547275386,3979.6973532857473,7.545358045444564,903.7993623893483,11.506911282193963,7520.406401172844,7.849866198451149,2939.205484779962,49.81152345424815,50.073280486125654,28.89494743629371,4.0,51.10973501875507
Himachal Pradesh,12018.989152716471,99.11173695599282,2.0,94.88203108827204,4937.663239089854,97.84611770141392,2199.202755209405,9.330207628142663,0.0,5.8880484059597915,3599.8779745286774,8.753578127638898,2022.2340166666654,79.056293274016,0.0,72.09665177247767,392.34836149926275,77.58735571680704
